------------------------------------------------------------
Server listening on TCP port 5001
TCP window size:  128 KByte (default)
------------------------------------------------------------
[  4] 7.0000-8.0000 sec  1.40 MBytes  11.7 Mbits/sec
[  4] 8.0000-9.0000 sec   793 KBytes  6.50 Mbits/sec
[  4] 9.0000-10.0000 sec   809 KBytes  6.63 Mbits/sec
[  4] 10.0000-11.0000 sec  1.53 MBytes  12.8 Mbits/sec
[  4] 11.0000-12.0000 sec  1.11 MBytes  9.34 Mbits/sec
[  4] 12.0000-13.0000 sec   782 KBytes  6.41 Mbits/sec
[  4] 13.0000-14.0000 sec   799 KBytes  6.54 Mbits/sec
[  4] 14.0000-15.0000 sec  1.31 MBytes  11.0 Mbits/sec
[  4] 15.0000-16.0000 sec  1.49 MBytes  12.5 Mbits/sec
[  4] 16.0000-17.0000 sec  1.16 MBytes  9.72 Mbits/sec
[  4] 17.0000-18.0000 sec  1.16 MBytes  9.73 Mbits/sec
[  4] 18.0000-19.0000 sec  1.51 MBytes  12.6 Mbits/sec
[  4] 19.0000-20.0000 sec  1.19 MBytes  9.95 Mbits/sec
[  4] 20.0000-21.0000 sec   652 KBytes  5.34 Mbits/sec
[  4] 21.0000-22.0000 sec   795 KBytes  6.52 Mbits/sec
[  4] 22.0000-23.0000 sec  1.42 MBytes  11.9 Mbits/sec
[  4] 0.0000-23.0071 sec  24.8 MBytes  9.04 Mbits/sec
[  5] local 10.0.0.5 port 5001 connected with 192.168.70.135 port 45222
[ ID] Interval       Transfer     Bandwidth
[  5] 0.0000-1.0000 sec   725 KBytes  5.94 Mbits/sec
[  5] 1.0000-2.0000 sec   755 KBytes  6.19 Mbits/sec
[  5] 2.0000-3.0000 sec  1.22 MBytes  10.2 Mbits/sec
[  5] 3.0000-4.0000 sec  1.51 MBytes  12.7 Mbits/sec
[  5] 4.0000-5.0000 sec  1.14 MBytes  9.59 Mbits/sec
[  5] 5.0000-6.0000 sec  1.16 MBytes  9.74 Mbits/sec
[  5] 6.0000-7.0000 sec  1.37 MBytes  11.5 Mbits/sec
[  5] 7.0000-8.0000 sec  1.41 MBytes  11.9 Mbits/sec
[  5] 8.0000-9.0000 sec   793 KBytes  6.50 Mbits/sec
[  5] 9.0000-10.0000 sec   816 KBytes  6.68 Mbits/sec
[  5] 10.0000-11.0000 sec  1.53 MBytes  12.8 Mbits/sec
[  5] 11.0000-12.0000 sec  1.24 MBytes  10.4 Mbits/sec
[  5] 12.0000-13.0000 sec   785 KBytes  6.43 Mbits/sec
[  5] 13.0000-14.0000 sec   840 KBytes  6.88 Mbits/sec
[  5] 14.0000-15.0000 sec  1.57 MBytes  13.2 Mbits/sec
[  5] 15.0000-16.0000 sec  1.17 MBytes  9.83 Mbits/sec
[  5] 16.0000-17.0000 sec   798 KBytes  6.53 Mbits/sec
[  5] 17.0000-18.0000 sec   850 KBytes  6.96 Mbits/sec
[  5] 18.0000-19.0000 sec  1.66 MBytes  13.9 Mbits/sec
[  5] 19.0000-20.0000 sec  1.07 MBytes  9.01 Mbits/sec
[  5] 20.0000-21.0000 sec   794 KBytes  6.50 Mbits/sec
[  5] 21.0000-22.0000 sec   919 KBytes  7.53 Mbits/sec
[  5] 22.0000-22.6246 sec  1.01 MBytes  13.5 Mbits/sec
[  5] 0.0000-22.6246 sec  25.0 MBytes  9.25 Mbits/sec
[  6] local 10.0.0.5 port 5001 connected with 192.168.70.135 port 50096
[ ID] Interval       Transfer     Bandwidth
[  6] 0.0000-1.0000 sec   737 KBytes  6.04 Mbits/sec
[  6] 1.0000-2.0000 sec   795 KBytes  6.51 Mbits/sec
[  6] 2.0000-3.0000 sec  1.00 MBytes  8.41 Mbits/sec
[  6] 3.0000-4.0000 sec  1.60 MBytes  13.4 Mbits/sec
[  6] 4.0000-5.0000 sec  1.19 MBytes  9.99 Mbits/sec
[  6] 5.0000-6.0000 sec  1.11 MBytes  9.29 Mbits/sec
[  6] 6.0000-7.0000 sec  1005 KBytes  8.24 Mbits/sec
[  6] 7.0000-8.0000 sec  1.68 MBytes  14.1 Mbits/sec
[  6] 8.0000-9.0000 sec   933 KBytes  7.65 Mbits/sec
[  6] 9.0000-10.0000 sec   796 KBytes  6.52 Mbits/sec
[  6] 10.0000-11.0000 sec  1.01 MBytes  8.47 Mbits/sec
[  6] 11.0000-12.0000 sec  1.69 MBytes  14.2 Mbits/sec
[  6] 12.0000-13.0000 sec   892 KBytes  7.31 Mbits/sec
[  6] 13.0000-14.0000 sec   795 KBytes  6.51 Mbits/sec
[  6] 14.0000-15.0000 sec  1.14 MBytes  9.59 Mbits/sec
[  6] 15.0000-16.0000 sec  1.58 MBytes  13.2 Mbits/sec
[  6] 16.0000-17.0000 sec   858 KBytes  7.03 Mbits/sec
[  6] 17.0000-18.0000 sec   790 KBytes  6.48 Mbits/sec
[  6] 18.0000-19.0000 sec  1.23 MBytes  10.3 Mbits/sec
[  6] 19.0000-20.0000 sec  1.53 MBytes  12.8 Mbits/sec
[  6] 20.0000-21.0000 sec  1.16 MBytes  9.74 Mbits/sec
[  6] 21.0000-22.0000 sec  1.16 MBytes  9.76 Mbits/sec
[  6] 0.0000-22.0230 sec  24.5 MBytes  9.35 Mbits/sec
[  7] local 10.0.0.5 port 5001 connected with 192.168.70.135 port 49024
[ ID] Interval       Transfer     Bandwidth
[  7] 0.0000-1.0000 sec  1.15 MBytes  9.67 Mbits/sec
[  7] 1.0000-2.0000 sec  1.42 MBytes  11.9 Mbits/sec
[  7] 2.0000-3.0000 sec  1.16 MBytes  9.74 Mbits/sec
[  7] 3.0000-4.0000 sec  1.12 MBytes  9.42 Mbits/sec
[  7] 4.0000-5.0000 sec  1.68 MBytes  14.1 Mbits/sec
[  7] 5.0000-6.0000 sec  1.02 MBytes  8.56 Mbits/sec
[  7] 6.0000-7.0000 sec   566 KBytes  4.63 Mbits/sec
[  7] 7.0000-8.0000 sec   799 KBytes  6.54 Mbits/sec
[  7] 8.0000-9.0000 sec  1.49 MBytes  12.5 Mbits/sec
[  7] 9.0000-10.0000 sec  1.30 MBytes  10.9 Mbits/sec
[  7] 10.0000-11.0000 sec   790 KBytes  6.48 Mbits/sec
[  7] 11.0000-12.0000 sec   812 KBytes  6.65 Mbits/sec
[  7] 12.0000-13.0000 sec  1.52 MBytes  12.8 Mbits/sec
[  7] 13.0000-14.0000 sec  1.18 MBytes  9.87 Mbits/sec
[  7] 14.0000-15.0000 sec   790 KBytes  6.48 Mbits/sec
[  7] 15.0000-16.0000 sec   824 KBytes  6.75 Mbits/sec
[  7] 16.0000-17.0000 sec  1.51 MBytes  12.7 Mbits/sec
[  7] 17.0000-18.0000 sec  1.26 MBytes  10.5 Mbits/sec
[  7] 18.0000-19.0000 sec   778 KBytes  6.37 Mbits/sec
[  7] 19.0000-20.0000 sec   840 KBytes  6.88 Mbits/sec
[  7] 20.0000-21.0000 sec  1.58 MBytes  13.3 Mbits/sec
[  7] 21.0000-22.0000 sec  1.17 MBytes  9.81 Mbits/sec
[  7] 0.0000-22.1859 sec  24.8 MBytes  9.36 Mbits/sec
