BLER,MCS
0.138506, 6
0.182692, 15
0.124655, 6
0.164423, 12
0.112190, 6
0.147981, 9
0.100971, 6
0.133182, 9
0.090874, 6
0.125127, 9
0.081786, 6
0.112615, 9
0.073608, 6
0.101353, 9
0.066247, 6
0.091218, 9
0.059622, 6
0.087359, 9
0.053660, 6
0.078623, 9
0.048294, 6
0.070761, 9
0.043465, 9
0.063685, 9
0.039118, 12
0.057316, 9
0.035206, 15
0.051585, 9
0.123621, 18
0.046426, 9
0.204702, 18
0.041784, 12
0.186774, 15
0.037605, 15
0.168097, 12
0.048845, 18
0.151287, 9
0.108246, 21
0.136158, 6
0.182037, 21
0.122542, 6
0.163833, 18
0.110288, 6
0.147450, 15
0.099259, 6
0.132705, 15
0.089333, 6
0.119434, 15
0.080400, 6
0.107491, 15
0.072360, 6
0.096742, 15
0.065124, 6
0.087068, 15
0.058612, 6
0.078361, 15
0.052750, 6
0.070525, 15
0.047475, 6
0.063472, 15
0.042728, 9
0.057125, 15
0.038455, 12
0.051413, 15
0.034610, 15
0.046271, 15
0.120038, 18
0.041644, 18
0.203116, 18
0.087480, 21
0.186223, 15
0.167601, 12
0.145398, 21
0.150841, 9
0.192397, 21
0.135757, 6
0.193157, 18
0.122181, 6
0.173842, 15
0.109963, 6
0.156457, 12
0.098967, 6
0.140812, 9
0.089070, 6
0.126731, 9
0.080163, 6
0.114057, 9
0.072147, 6
0.102652, 9
0.064932, 6
0.092387, 9
0.058439, 6
0.083148, 9
0.052595, 6
0.081976, 9
0.047335, 6
0.079661, 9
0.042602, 9
0.071695, 9
0.038342, 12
0.064525, 9
0.034507, 15
0.058073, 9
0.052265, 9
0.122992, 18
0.205775, 18
0.047039, 9
0.187740, 15
0.042335, 12
0.168966, 12
0.038101, 15
0.152069, 9
0.045402, 18
0.136862, 6
0.115862, 21
0.123176, 6
0.204276, 21
0.110859, 6
0.190515, 18
0.099773, 6
0.171464, 15
0.089795, 6
0.154317, 12
0.080816, 6
0.138885, 9
0.072734, 6
0.130260, 9
0.065461, 6
0.117234, 9
0.058915, 6
0.105511, 9
0.053023, 6
0.094960, 9
0.047721, 6
0.085464, 9
0.042949, 9
0.082473, 9
0.038654, 12
0.074226, 9
0.034789, 15
0.071803, 9
0.118810, 18
0.064623, 9
0.205262, 18
0.058160, 9
0.188155, 15
0.052344, 9
0.169339, 12
0.047110, 9
0.152405, 9
0.042399, 12
0.137165, 6
0.038159, 15
0.123448, 6
0.046108, 18
0.111103, 6
0.114224, 21
0.099993, 6
0.156648, 21
0.155269, 18
0.139742, 15
0.125768, 12
0.113191, 9
0.101872, 9
0.091685, 9
0.082516, 9
0.074265, 9
0.066838, 9
0.089994, 6
0.060154, 9
0.054139, 9
0.048725, 9
0.043853, 9
0.039467, 9
0.035521, 9
0.031968, 9
0.028772, 9
0.025894, 9
0.023305, 9
0.080994, 6
0.020975, 9
0.018877, 9
0.016989, 9
0.015290, 9
0.013761, 9
0.012385, 9
0.011147, 9
0.010032, 9
0.009029, 9
0.008126, 9
0.072895, 6
0.007313, 9
0.006582, 9
0.005924, 9
0.005331, 9
0.004798, 9
0.004318, 9
0.003887, 9
0.003498, 9
0.003148, 9
0.002833, 9
0.065605, 6
0.002550, 9
0.002295, 9
0.002066, 9
0.001859, 9
0.001673, 9
0.001506, 9
0.001355, 9
0.059045, 6
0.001220, 9
0.053140, 6
0.001098, 12
0.047826, 6
0.000988, 15
0.043044, 9
0.014222, 18
0.038739, 12
0.072800, 21
0.034865, 15
0.127059, 21
0.124822, 18
0.189353, 21
0.208173, 18
0.180944, 18
0.189036, 15
0.162849, 15
0.170133, 12
0.146565, 12
0.153119, 9
0.131908, 12
0.137807, 6
0.124600, 12
0.124027, 6
0.112140, 12
0.111624, 6
0.106808, 12
0.100462, 6
0.096127, 12
0.090415, 6
0.086515, 12
0.081374, 6
0.077863, 12
0.073236, 6
0.070077, 12
0.065913, 6
0.069319, 12
0.059322, 6
0.068637, 12
0.053389, 6
0.061773, 12
0.048050, 6
0.055596, 12
0.043245, 9
0.050036, 12
0.038921, 12
0.045033, 12
0.035029, 15
0.040530, 15
0.121848, 18
0.036477, 18
0.207997, 18
0.095329, 21
0.188878, 15
0.150502, 21
0.169990, 12
