BLER,MCS
0.130197, 25
0.134485, 25
0.038241, 16
0.142249, 25
0.046181, 17
0.144370, 25
0.047813, 18
0.144084, 25
0.101855, 19
0.146983, 25
0.154170, 19
0.146436, 25
0.168753, 18
0.142801, 25
0.156878, 17
0.146168, 25
0.141190, 16
0.140480, 25
0.127071, 16
0.137441, 25
0.114364, 16
0.141173, 25
0.102927, 16
0.142294, 25
0.092635, 16
0.142215, 25
0.083371, 16
0.137003, 25
0.075034, 16
0.138541, 25
0.072794, 16
0.141033, 25
0.072657, 16
0.139892, 25
0.065392, 16
0.140054, 25
0.063852, 16
0.142395, 25
0.057467, 16
0.143393, 25
0.051720, 16
0.147501, 25
0.046548, 16
0.147989, 25
0.041894, 17
0.148428, 25
0.047704, 18
0.152213, 25
0.102934, 19
0.139512, 24
0.170418, 19
0.127242, 24
0.170043, 18
0.117936, 24
0.153039, 17
0.108685, 24
0.137735, 16
0.098643, 24
0.123961, 16
0.089612, 24
0.111565, 16
0.084070, 24
0.100409, 16
0.076496, 24
0.090368, 16
0.073120, 24
0.081331, 16
0.068350, 24
0.073198, 16
0.063196, 24
0.065878, 16
0.057710, 24
0.059290, 16
0.054460, 24
0.058361, 16
0.049014, 24
0.052525, 16
0.058398, 25
0.047273, 16
0.068904, 25
0.042545, 17
0.077108, 25
0.043554, 18
0.086873, 25
0.098022, 19
0.093424, 25
0.154887, 19
0.103884, 25
0.144398, 18
0.107514, 25
0.141069, 18
0.107772, 25
0.136486, 18
0.112233, 25
0.133364, 18
0.109045, 25
0.125291, 18
0.114331, 25
0.123873, 18
0.123898, 25
0.122597, 18
0.125659, 25
0.122102, 18
0.131721, 25
0.115774, 18
0.122378, 18
0.110140, 18
0.099126, 17
0.089214, 16
0.080292, 15
0.072263, 14
0.135004, 25
0.065037, 13
0.058533, 12
0.052680, 11
0.047412, 10
0.121504, 25
0.042671, 9
0.109353, 24
0.038404, 9
0.102704, 24
0.034563, 10
0.094114, 24
0.031107, 11
0.087245, 24
0.027996, 12
0.078521, 24
0.025197, 13
0.072335, 24
0.022677, 14
0.066782, 24
0.020409, 15
0.060104, 24
0.018368, 16
0.055774, 24
0.021531, 17
0.052718, 24
0.024378, 18
0.050865, 24
0.060829, 19
0.046612, 24
0.123496, 19
0.055035, 25
0.152323, 19
0.059441, 25
0.157091, 18
0.069843, 25
0.141382, 17
0.073868, 25
0.127244, 17
0.083957, 25
0.120075, 17
0.084490, 25
0.108067, 17
0.090192, 25
0.102524, 17
0.098648, 25
0.092271, 17
0.106259, 25
0.083044, 17
0.110728, 25
0.074740, 17
0.116160, 25
0.067266, 17
0.122020, 25
0.060539, 17
0.119818, 25
0.067819, 17
0.124026, 25
0.061037, 17
0.129099, 25
0.064024, 17
0.131428, 25
0.057622, 17
0.131369, 25
0.051859, 17
0.136679, 25
0.046674, 17
